prompt_tokens,completion_tokens,total_tokens
984,2162,3146
1342,5706,7048
1077,3878,4955
1435,7707,9142
1170,4226,5396
1528,5226,6754
1528,3803,5331
1264,3043,4307
1622,5985,7607
1358,2980,4338
1716,5246,6962
1450,2936,4386
1808,7114,8922
1541,2650,4191
1899,5470,7369
1634,4306,5940
1992,5488,7480
1727,3405,5132
2085,4582,6667
1819,4741,6560
1819,4229,6048
2177,8832,11009
1910,2436,4346
2268,3648,5916
2000,3992,5992
2358,4562,6920
2358,4905,7263
2094,1878,3972
2452,2996,5448
2185,1887,4072
2185,4107,6292
2185,4576,6761
2543,2702,5245
2279,2786,5065
2279,4616,6895
2637,4639,7276
2373,2857,5230
2731,3209,5940
2467,3948,6415
2825,8553,11378
2825,6106,8931
2561,2167,4728
2919,3637,6556
2654,2423,5077
3012,3863,6875
2748,2776,5524
3106,6285,9391
3106,5785,8891
3106,2839,5945
2842,3115,5957
2842,3658,6500
3200,2499,5699
2936,2423,5359
3294,5526,8820
3030,3562,6592
3388,6220,9608
3124,2188,5312
3124,3662,6786
3482,3894,7376
3217,2411,5628
3217,2801,6018
3575,5968,9543
3311,2622,5933
3669,4483,8152
3405,1884,5289
3763,2768,6531
3499,3673,7172
3499,2893,6392
3499,5978,9477
3857,4007,7864
3592,3048,6640
3950,8153,12103
3683,3658,7341
3683,3190,6873
3683,2076,5759
4041,3672,7713
3775,2488,6263
4133,8391,12524
3868,3163,7031
4226,5801,10027
3960,3205,7165
4318,5521,9839
4318,7941,12259
4051,2722,6773
4051,4655,8706
4409,5199,9608
4143,2202,6345
4143,6297,10440
4501,8434,12935
4235,2740,6975
4235,2367,6602
4593,4156,8749
4329,3413,7742
4687,2911,7598
4419,3179,7598
4777,6778,11555
4511,3217,7728
4869,6240,11109
4605,4371,8976
4963,2908,7871
4699,4191,8890
4699,1751,6450
5057,4994,10051
4791,3763,8554
5149,8917,14066
4882,2813,7695
5240,5081,10321
4975,2656,7631
4975,3864,8839
5333,7932,13265
5069,3321,8390
5427,3800,9227
5163,2366,7529
5163,4163,9326
5521,8007,13528
5256,3982,9238
5614,4098,9712
5350,2045,7395
5350,2575,7925
5708,3470,9178
5442,2443,7885
5800,4810,10610
5536,3296,8832
5894,4329,10223
5627,2636,8263
5627,3544,9171
5985,3943,9928
5721,4083,9804
5721,4613,10334
6079,3058,9137
5813,3173,8986
6171,3148,9319
5906,3540,9446
6264,6482,12746
6000,2655,8655
6358,5187,11545
6092,5924,12016
6450,4314,10764
6185,3205,9390
6185,3057,9242
6543,7050,13593
6279,3837,10116
6279,4465,10744
6279,2754,9033
6637,3061,9698
6371,1755,8126
6371,3218,9589
6729,4196,10925
6461,1860,8321
6819,2385,9204
6553,3614,10167
6911,5494,12405
6647,2865,9512
7005,3899,10904
6740,3334,10074
6740,3087,9827
7098,7625,14723
6833,3248,10081
7191,6893,14084
6927,1832,8759
6927,6024,12951
7285,4752,12037
7020,3603,10623
7020,2337,9357
7020,4670,11690
7378,6488,13866
7114,2464,9578
7472,3611,11083
7207,2570,9777
7207,2251,9458
7207,2737,9944
7207,3546,10753
7565,4915,12480
7301,1600,8901
7301,4478,11779
7659,4922,12581
7394,5744,13138
7752,7886,15638
7487,2606,10093
7487,2416,9903
7845,2107,9952
7581,1987,9568
7939,5881,13820
7674,1820,9494
7674,4127,11801
8032,7390,15422
7768,5972,13740
7768,5584,13352
8126,4949,13075
7860,2255,10115
8218,5837,14055
7954,3008,10962
8312,4004,12316
8047,3162,11209
8047,3531,11578
8047,3434,11481
8405,6025,14430
8141,1904,10045
8141,4214,12355
8499,5310,13809
8235,2167,10402
8593,7451,16044
8327,3260,11587
8327,2252,10579
8685,10000,18685
8685,4741,13426
8685,6158,14843
8419,2127,10546
8419,2185,10604
8777,5729,14506
8511,1400,9911
8511,1105,9616
8869,4494,13363
8604,3351,11955
8604,2805,11409
8604,3671,12275
8604,2340,10944
8962,5696,14658
8696,2023,10719
8696,4932,13628
9054,7550,16604
8786,2444,11230
8786,2380,11166
8786,5563,14349
9144,7448,16592
9144,5548,14692
8878,2020,10898
8878,2475,11353
9236,7900,17136
8971,1506,10477
8971,3965,12936
8971,3064,12035
9329,3833,13162
9065,4775,13840
9065,1639,10704
9423,5587,15010
9159,2191,11350
9159,2359,11518
9159,2447,11606
9517,3116,12633
9253,3961,13214
9611,10000,19611
9611,5152,14763
9347,2489,11836
9347,2179,11526
9347,2555,11902
9705,3574,13279
9438,2571,12009
9796,4360,14156
9532,2235,11767
9532,2243,11775
9532,6302,15834
9532,2245,11777
9532,5222,14754
9532,2048,11580
9532,4894,14426
9890,3801,13691
9623,1920,11543
9623,2008,11631
9981,6028,16009
9716,5436,15152
9716,2515,12231
10074,6102,16176
10074,4102,14176
9809,2266,12075
9809,5116,14925
9809,3114,12923
10167,5655,15822
