prompt_tokens,completion_tokens,total_tokens
1159,342,1501
1215,94,1309
1245,342,1587
1301,95,1396
1331,342,1673
1387,93,1480
1417,342,1759
1473,95,1568
1502,342,1844
1558,93,1651
1589,342,1931
1645,88,1733
1674,342,2016
1730,99,1829
1761,342,2103
1817,94,1911
1848,342,2190
1904,99,2003
1933,342,2275
1989,94,2083
2019,342,2361
2075,92,2167
2105,342,2447
2161,94,2255
2192,342,2534
2248,94,2342
2278,342,2620
2334,95,2429
2365,342,2707
2421,92,2513
2451,342,2793
2507,93,2600
2537,342,2879
2593,93,2686
2622,342,2964
2678,93,2771
2708,342,3050
2764,92,2856
2793,342,3135
2849,94,2943
2880,342,3222
2880,72,2952
2936,89,3025
2966,342,3308
3022,93,3115
3052,342,3394
3108,94,3202
3137,342,3479
3193,93,3286
3222,342,3564
3278,92,3370
3309,342,3651
3365,92,3457
3395,342,3737
3451,97,3548
3481,342,3823
3537,94,3631
3568,342,3910
3624,93,3717
3655,342,3997
3655,72,3727
3711,93,3804
3741,342,4083
3797,95,3892
3828,342,4170
3884,93,3977
3915,342,4257
3971,93,4064
4001,342,4343
4057,90,4147
4087,342,4429
4143,93,4236
4174,342,4516
4230,93,4323
4260,342,4602
4316,94,4410
4346,342,4688
4402,91,4493
4433,342,4775
4489,93,4582
4519,342,4861
4575,92,4667
4605,342,4947
4661,91,4752
4691,342,5033
4747,94,4841
4777,342,5119
4833,92,4925
4864,342,5206
4920,94,5014
4950,342,5292
5006,90,5096
5036,342,5378
5092,92,5184
5122,342,5464
5178,92,5270
5209,342,5551
5265,91,5356
5295,342,5637
5351,92,5443
5381,342,5723
5437,93,5530
5467,342,5809
5523,92,5615
5554,342,5896
5610,91,5701
5640,342,5982
5696,92,5788
5727,342,6069
5783,97,5880
5814,342,6156
5870,93,5963
5901,342,6243
5957,85,6042
5987,342,6329
6043,95,6138
6073,342,6415
6073,72,6145
6073,72,6145
6129,91,6220
6158,342,6500
6158,72,6230
6214,94,6308
6245,342,6587
6301,92,6393
6331,342,6673
6387,92,6479
6417,342,6759
6473,94,6567
6504,342,6846
6560,90,6650
6591,342,6933
6591,72,6663
6647,86,6733
6677,342,7019
6733,93,6826
6764,342,7106
6820,92,6912
6849,342,7191
6905,93,6998
6936,342,7278
6992,94,7086
7023,342,7365
7079,92,7171
7110,342,7452
7166,94,7260
7195,342,7537
7251,91,7342
7282,342,7624
7282,72,7354
7282,72,7354
7338,90,7428
7368,342,7710
7368,72,7440
7424,95,7519
7454,342,7796
7454,72,7526
7510,90,7600
7540,342,7882
7540,72,7612
7596,93,7689
7627,342,7969
7627,72,7699
7627,72,7699
7683,95,7778
7713,342,8055
7769,94,7863
7800,342,8142
7856,94,7950
7886,342,8228
7942,92,8034
7972,342,8314
8028,98,8126
8059,342,8401
8115,93,8208
8145,359,8504
8201,95,8296
8231,342,8573
8287,92,8379
8317,342,8659
8373,91,8464
8402,342,8744
8458,92,8550
8488,342,8830
8544,92,8636
8574,342,8916
8630,95,8725
8661,342,9003
8717,92,8809
8747,342,9089
8747,72,8819
8803,90,8893
8833,342,9175
8833,72,8905
8833,72,8905
8889,93,8982
8919,342,9261
8919,208,9127
8975,93,9068
9005,342,9347
9061,95,9156
9090,342,9432
9146,94,9240
9176,342,9518
9232,91,9323
9262,342,9604
9318,99,9417
9348,342,9690
9404,91,9495
